window,state_family,state,seed,observations,ann_mean_daily_return,mps_mean_daily_return,mps_minus_ann_mean_daily_return,mps_minus_ann_annualized_mean_return,ann_annualized_downside_deviation,mps_annualized_downside_deviation,mps_minus_ann_downside_deviation
2017-2018,benchmark_volatility,high,3,241,-0.0005079836912577021,-0.0005645910608650568,-5.6607369607354666e-05,-0.014265057141053377,0.14701200641907744,0.1436105131540152,-0.0034014932650622276
2017-2018,benchmark_volatility,high,4,241,-0.00020109607167936175,-0.00014042383409223992,6.0672237587121544e-05,0.015289403871954628,0.17021068708907333,0.1449199047902643,-0.025290782298809045
2017-2018,benchmark_volatility,high,5,241,-0.0006394007507221876,-0.0003499593347681787,0.0002894414159540089,0.07293923682041024,0.18212968615813957,0.2502012932280567,0.0680716070699171
2017-2018,benchmark_volatility,high,6,241,4.145137525259754e-05,3.653496420272056e-05,-4.916411049877112e-06,-0.001238935584569032,0.1366988161866663,0.14010825817101277,0.0034094419843464785
2017-2018,benchmark_volatility,high,7,241,2.138826609757518e-05,9.49454396457023e-05,7.355717354812714e-05,0.018536407734128037,0.14218212821897203,0.14605031485283126,0.0038681866338592386
2017-2018,benchmark_volatility,high,8,241,-0.0003824621294635254,-9.310244082131156e-05,0.00028935968864221367,0.07291864153783785,0.15734130675207217,0.17368055328553964,0.016339246533467466
2017-2018,benchmark_volatility,high,9,241,-0.00033968220777214433,-0.0002483680477860941,9.131415998604985e-05,0.023011168316484563,0.21271446206956943,0.24235494694931736,0.029640484879747936
2017-2018,benchmark_drawdown,at_or_above_prior_peak,0,127,0.004566769275603745,0.004260213452786289,-0.00030655582281745357,-0.0772520673499983,0.016620437435475654,0.017477888115206796,0.0008574506797311421
2017-2018,benchmark_drawdown,at_or_above_prior_peak,1,127,0.002561279182288188,0.002901171789800647,0.0003398926075124588,0.08565293709313962,0.010229370357565173,0.026859464627543503,0.01663009426997833
2017-2018,benchmark_drawdown,at_or_above_prior_peak,2,127,0.00383137710230421,0.004000559613773893,0.00016918251146968242,0.04263399289035997,0.010401250845571239,0.011518288221964216,0.001117037376392977
2017-2018,benchmark_drawdown,at_or_above_prior_peak,3,127,0.0030058445075746227,0.0028438975866171496,-0.00016194692095747334,-0.04081062408128328,0.03509318814548967,0.038225503047135026,0.0031323149016453528
2017-2018,benchmark_drawdown,at_or_above_prior_peak,4,127,0.004365933019101596,0.003152051493031976,-0.0012138815260696195,-0.3058981445695441,0.02932876576909154,0.027170243833306126,-0.0021585219357854145
2017-2018,benchmark_drawdown,at_or_above_prior_peak,5,127,0.0031279312642478515,0.006157832359433178,0.003029901095185326,0.7635350759867021,0.0572101408542932,0.07476648714044422,0.01755634628615102
2017-2018,benchmark_drawdown,at_or_above_prior_peak,6,127,0.0028064011295813184,0.003105524730650405,0.00029912360106908604,0.07537914746940969,0.033515467744516504,0.030573517747236458,-0.002941949997280046
2017-2018,benchmark_drawdown,at_or_above_prior_peak,7,127,0.003696709610662565,0.003526499274773091,-0.0001702103358894738,-0.0428930046441474,0.01757595784522075,0.01699542142635827,-0.0005805364188624824
2017-2018,benchmark_drawdown,at_or_above_prior_peak,8,127,0.004268428276729761,0.00472723419454472,0.0004588059178149624,0.11561909128937052,0.022932472460747984,0.03486586833812234,0.011933395877374353
2017-2018,benchmark_drawdown,at_or_above_prior_peak,9,127,0.005621424671926078,0.006130596800110276,0.0005091721281841988,0.1283113763024181,0.05593091446061312,0.07671722377128323,0.02078630931067011
2017-2018,benchmark_drawdown,below_prior_peak,0,374,-0.0008597471209698739,-0.0007548379663674158,0.00010490915460245799,0.026437106959819413,0.13179030338995834,0.13000899770670615,-0.0017813056832521879
2017-2018,benchmark_drawdown,below_prior_peak,1,374,-0.0007335999506203636,-0.0006211523196068723,0.00011244763101349118,0.028336803015399776,0.10459864391128744,0.11553080360285484,0.010932159691567397
2017-2018,benchmark_drawdown,below_prior_peak,2,374,-0.0007344231362521982,-0.0007405156941274891,-6.092557875290979e-06,-0.0015353245845733268,0.1140317902547691,0.12393893422183348,0.00990714396706438
2017-2018,benchmark_drawdown,below_prior_peak,3,374,-0.0007938223602618541,-0.0007309635243994293,6.285883586242474e-05,0.015840426637331033,0.12192929597719612,0.11938264969913352,-0.0025466462780626004
2017-2018,benchmark_drawdown,below_prior_peak,4,374,-0.0006865577131942057,-0.0005053842942289513,0.00018117341896525414,0.04565570157924404,0.14246240252425382,0.12360307620109744,-0.018859326323156386
2017-2018,benchmark_drawdown,below_prior_peak,5,374,-0.0008233422087289089,-0.001081141086520866,-0.000257798877791957,-0.06496531720357317,0.15275481294286342,0.2092809968331035,0.056526183890240084
2017-2018,benchmark_drawdown,below_prior_peak,6,374,-0.00039252517799880234,-0.00045692751229119323,-6.440233429239075e-05,-0.01622938824168247,0.12491894276725031,0.12861140206126373,0.00369245929401342
2017-2018,benchmark_drawdown,below_prior_peak,7,374,-0.0006348289851755496,-0.0005521113107987448,8.271767437680482e-05,0.020844853942954815,0.12501780881766514,0.1257622258990457,0.0007444170813805662
2017-2018,benchmark_drawdown,below_prior_peak,8,374,-0.0008311703537329911,-0.0007933519563776554,3.7818397355336104e-05,0.009530236133544699,0.1335014424501053,0.14595343392813756,0.012451991478032248
2017-2018,benchmark_drawdown,below_prior_peak,9,374,-0.0009703970922292226,-0.0009814986868160519,-1.1101594586829241e-05,-0.002797601835880969,0.18025786793294707,0.20463571425115618,0.024377846318209107
2017-2018,benchmark_return_tail,bottom_decile,0,51,-0.017114011874931265,-0.016395771748821685,0.0007182401261095798,0.1809965117796141,0.32580775961552866,0.3252239208129097,-0.0005838388026189745
2017-2018,benchmark_return_tail,bottom_decile,1,51,-0.013078325820263258,-0.013236056762260976,-0.00015773094199771214,-0.03974819738342346,0.2626093978977901,0.27471132459442577,0.012101926696635679
