window,year,seed,metric,ann,mps,mps_minus_ann
2017-2018,2018,5,max_drawdown,-0.2953215778789499,-0.3479759695728572,-0.05265439169390729
2017-2018,2018,5,annualized_turnover,0.4966710240588375,0.0718117878305051,-0.42485923622833244
2017-2018,2018,5,total_cost,597.1122571132184,99.71708316707613,-497.39517394614234
2017-2018,2017,6,period_return,0.154803681706898,0.1755820347828103,0.020778353075912276
2017-2018,2017,6,sharpe,1.484766930622005,1.5919908781233676,0.10722394750136255
2017-2018,2017,6,max_drawdown,-0.1067418201340408,-0.096514821306041,0.010226998827999795
2017-2018,2017,6,annualized_turnover,0.9836505705032192,1.0007235548457722,0.017072984342553
2017-2018,2017,6,total_cost,1004.6369128293992,1008.279155330658,3.6422425012588064
2017-2018,2018,6,period_return,0.0460711278936682,0.0405442991268383,-0.005526828766829896
2017-2018,2018,6,sharpe,0.3456812656539633,0.3118113030918977,-0.03386996256206559
2017-2018,2018,6,max_drawdown,-0.2008474729263958,-0.1997046043017784,0.0011428686246174047
2017-2018,2018,6,annualized_turnover,0.0121633918272805,0.0254877474144963,0.0133243555872158
2017-2018,2018,6,total_cost,14.671055179595946,30.72427314376831,16.053217964172365
2017-2018,2017,7,period_return,0.1163438092096227,0.0853959447054495,-0.030947864504173195
2017-2018,2017,7,sharpe,1.351587127895568,1.355708939305473,0.004121811409905085
2017-2018,2017,7,max_drawdown,-0.0846028733251178,-0.0588522767546367,0.0257505965704811
2017-2018,2017,7,annualized_turnover,1.021194591474394,1.0627795324858524,0.041584941011458376
2017-2018,2017,7,total_cost,1037.9044766061306,1074.538191356659,36.63371475052827
2017-2018,2018,7,period_return,0.1053080365588152,0.1468519075249255,0.0415438709661103
2017-2018,2018,7,sharpe,0.6214643650620963,0.7818130507809669,0.1603486857188705
2017-2018,2018,7,max_drawdown,-0.1717134039421922,-0.1813676981092584,-0.009654294167066202
2017-2018,2018,7,annualized_turnover,0.0589258371313849,0.0388300716492951,-0.0200957654820898
2017-2018,2018,7,total_cost,67.61226401901246,43.570491755008696,-24.04177226400376
2017-2018,2017,8,period_return,0.1939037769238467,0.1662735511224298,-0.027630225801416886
2017-2018,2017,8,sharpe,2.104349681937988,1.634326021918567,-0.470023660019421
2017-2018,2017,8,max_drawdown,-0.0457610562600402,-0.0553759018540903,-0.009614845594050098
2017-2018,2017,8,annualized_turnover,0.995650493663084,1.0176518318069423,0.022001338143858296
2017-2018,2017,8,total_cost,1012.9553816804888,1032.2752859535217,19.319904273032876
2017-2018,2018,8,period_return,0.0290780489406186,0.1250276127426277,0.09594956380200909
2017-2018,2018,8,sharpe,0.2427120851603087,0.6235728770942934,0.3808607919339847
2017-2018,2018,8,max_drawdown,-0.2399077198387273,-0.2255984368795399,0.014309282959187403
2017-2018,2018,8,annualized_turnover,0.0013409715487509,0.0057024613493487,0.0043614898005977995
2017-2018,2018,8,total_cost,1.8595402603149416,7.785371612548828,5.925831352233887
2017-2018,2017,9,period_return,0.2316981477033692,0.2157754794167521,-0.015922668286617092
2017-2018,2017,9,sharpe,1.753805610095706,1.5647776108537266,-0.18902799924197944
2017-2018,2017,9,max_drawdown,-0.0945712376408102,-0.0688170660328316,0.025754171607978604
2017-2018,2017,9,annualized_turnover,1.028373029872049,1.0513980646532144,0.023025034781165354
2017-2018,2017,9,total_cost,1053.8903034143448,1085.2153435697558,31.32504015541099
2017-2018,2018,9,period_return,0.095887320768861,0.1594737962459382,0.06358647547707719
2017-2018,2018,9,sharpe,0.4594053930082148,0.6031183474131595,0.1437129544049447
2017-2018,2018,9,max_drawdown,-0.3252188257345553,-0.3574527030183659,-0.03223387728381061
2017-2018,2018,9,annualized_turnover,0.2651223601001213,0.3446087854422288,0.07948642534210748
2017-2018,2018,9,total_cost,396.64673230457305,558.4950531816482,161.8483208770752
2019-2020,2019,0,period_return,0.1515420209596332,0.1341702297768547,-0.017371791182778512
2019-2020,2019,0,sharpe,1.8207985630938053,1.5990793201916116,-0.2217192429021937
2019-2020,2019,0,max_drawdown,-0.057399660590284,-0.0612047328278112,-0.003805072237527199
2019-2020,2019,0,annualized_turnover,1.1531555692237403,1.1110168764145631,-0.04213869280917715
2019-2020,2019,0,total_cost,1200.7939550709723,1149.3102245407104,-51.48373053026194
2019-2020,2020,0,period_return,0.1337426841658804,0.2174990872029849,0.0837564030371045
2019-2020,2020,0,sharpe,0.5326791218483897,0.7723327988473678,0.2396536769989781
2019-2020,2020,0,max_drawdown,-0.2678598945040522,-0.2111121543500062,0.05674774015404599
