condition,seed,year,observations,period_return,annualized_volatility,sharpe,max_drawdown,positive_day_frequency,gross_traded_notional,total_cost,cumulative_turnover,annualized_turnover
Base FinRL,6,2017,251,0.045458798837581416,0.039038289130861645,1.162846711046052,-0.028807089458518065,0.5657370517928287,693190.9514293671,693.1909514293671,0.6834017867911513,0.6861245030731877
Base FinRL,6,2018,250,0.06403188674054339,0.19534328181806804,0.41772664915635266,-0.1947892864617673,0.556,368486.5960302353,368.48659603023526,0.3412334871850964,0.34396335508257714
Base FinRL,7,2017,251,0.03983178534365095,0.030707691555812492,1.292410039616162,-0.017601253326464783,0.5657370517928287,492301.0327746868,492.3010327746868,0.482021458729633,0.4839418629476793
Base FinRL,7,2018,250,0.10081690854884395,0.19541548157798938,0.5930103716160487,-0.18866127080234696,0.56,936677.3803741932,936.6773803741933,0.7941977235536898,0.8005513053421193
Base FinRL,8,2017,251,0.2869911809468575,0.1744328299433979,1.5392504032761372,-0.09191090577416183,0.5776892430278885,1017231.3108124733,1017.2313108124733,0.9989497069238609,1.0029295862343146
Base FinRL,8,2018,250,0.25887309583022633,0.36596405793452186,0.8170298419463152,-0.344085248827547,0.528,3.584797143936157,0.003584797143936157,2.096669630544264e-06,2.113442987588618e-06
Base FinRL,9,2017,251,0.08476035318383901,0.109441727789931,0.8009387209419337,-0.08996102974713538,0.5139442231075697,998999.7571978569,998.999757197857,0.9882431789506212,0.9921804027711417
Base FinRL,9,2018,250,0.11493685965017897,0.21204785834871764,0.6233122106566784,-0.13469220058885822,0.544,0.0,0.0,0.0,0.0
Equal-weight buy-and-hold,-1,2017,251,0.3092397350153664,0.10604473303916419,2.605238830665028,-0.03965853506326167,0.5976095617529881,1000000.0,1000.0,1.0,1.00398406374502
Equal-weight buy-and-hold,-1,2018,250,0.08416235116256976,0.21247787137552337,0.48960594610512537,-0.23627173279164682,0.58,0.0,0.0,0.0,0.0
QINN-MPS signal,0,2017,251,0.09439667261782358,0.06397023993953678,1.4478148233462635,-0.02972127090289356,0.6254980079681275,1016441.6202003956,1016.4416202003956,0.9935130935692017,0.9974713130654934
QINN-MPS signal,0,2018,250,0.15659342645997376,0.20543672318971742,0.8168942644013178,-0.22639514266395866,0.576,280371.9162156582,280.3719162156582,0.24894198680191237,0.2509335226963276
QINN-MPS signal,1,2017,251,0.08480031562157886,0.04719700116575074,1.7552211939266291,-0.017809998384946457,0.5737051792828686,924281.2688732147,924.2812688732147,0.9005407976210034,0.9041286095637165
QINN-MPS signal,1,2018,250,0.03573664710460034,0.19339569325141318,0.2795016280779733,-0.15275765672006925,0.532,171528.82124328613,171.52882124328613,0.1565193558137334,0.15777151066024328
