horizon_years,end_year,start_date,end_date,condition,seed,observations,trading_steps,total_return,annual_return,annual_volatility,sharpe,max_drawdown,gross_traded_notional,cumulative_turnover,annualized_turnover,total_cost
1,2019,2019-01-02,2019-12-31,Base FinRL,7,252,251,0.10538760971943484,0.10582895467121767,0.1565089961063153,0.7185675764402146,-0.14473524791796377,1004721.573671341,0.9790224277040719,0.9829229154638491,1004.721573671341
1,2019,2019-01-02,2019-12-31,Base FinRL,8,252,251,0.0854732841144561,0.08582802845829751,0.22365640246852514,0.47874983605379423,-0.2276707121889614,1001942.8256988525,0.9796893168007654,0.9835924614892146,1001.9428256988526
1,2019,2019-01-02,2019-12-31,Base FinRL,9,252,251,0.18083781165780421,0.1816200778926902,0.11985795375185951,1.447012684167247,-0.074448496235621,1035494.9694690704,1.0001971253578044,1.0041819744628155,1035.4949694690704
1,2019,2019-01-02,2019-12-31,QINN-MPS signal,0,252,251,0.054088308808301955,0.054309548753119774,0.18678615204253993,0.37546704019320004,-0.1959087444875257,1015406.9981813431,1.0015005680319928,1.005490610135706,1015.406998181343
1,2019,2019-01-02,2019-12-31,QINN-MPS signal,1,252,251,0.20385117958248467,0.20474133072518752,0.14512389146345467,1.3514265927016165,-0.09711607743761141,998986.5132484436,0.9912745995262977,0.9952239007196295,998.9865132484438
1,2019,2019-01-02,2019-12-31,QINN-MPS signal,2,252,251,0.14814292987787203,0.14877502060480885,0.07608919243038464,1.8540057597110204,-0.04163769396296324,1015790.5772972107,0.9760678821767201,0.9799565988387788,1015.7905772972107
1,2019,2019-01-02,2019-12-31,QINN-MPS signal,3,252,251,0.15636996517217594,0.1570394979178218,0.1772909977420898,0.9083429204264446,-0.15850025450144578,1002351.2302589417,0.9830076451195443,0.9869240102395426,1002.3512302589417
1,2019,2019-01-02,2019-12-31,QINN-MPS signal,4,252,251,0.1825349856723808,0.1833251472374906,0.10552477864773652,1.6419698075402576,-0.06731484035951663,1777962.6472947598,1.718388732280689,1.7252349025288194,1777.9626472947598
1,2019,2019-01-02,2019-12-31,QINN-MPS signal,5,252,251,0.07429835728241763,0.07460514432261367,0.1388554721343802,0.585647104870947,-0.13942383752529497,1024105.3089926243,1.0111257508116416,1.0151541402571063,1024.1053089926243
1,2019,2019-01-02,2019-12-31,QINN-MPS signal,6,252,251,0.321159867704373,0.32262664261881824,0.1107691185260799,2.571057964680577,-0.05739309186045427,1009855.8697881699,0.991921795461462,0.995873675124655,1009.8558697881699
1,2019,2019-01-02,2019-12-31,QINN-MPS signal,7,252,251,0.2803692324755773,0.28163057581506923,0.1298151398058753,1.969399567366702,-0.07843461330406742,1013256.9970514774,0.9782852946850997,0.9821828456599407,1013.2569970514774
1,2019,2019-01-02,2019-12-31,QINN-MPS signal,8,252,251,0.23088255890476228,0.23190167780084825,0.11658112411664563,1.8408423026131495,-0.06722707481990053,1018273.027305603,1.0118404622914823,1.0158716991930419,1018.2730273056031
1,2019,2019-01-02,2019-12-31,QINN-MPS signal,9,252,251,0.290129334473864,0.2914393646276967,0.10697033655212732,2.4360420487911285,-0.0667643661150571,1137474.440796852,1.0961093460970652,1.100476315603428,1137.4744407968522
2,2020,2019-01-02,2020-12-31,ANN signal,0,505,504,0.6813334880306585,0.2966624418215631,0.29217863196263566,1.0346304070704453,-0.24967579253632521,1169832.2017326355,1.1366090213304743,0.5683045106652371,1169.8322017326354
2,2020,2019-01-02,2020-12-31,ANN signal,1,505,504,0.5321182236020441,0.23778763267454095,0.24574136214372433,0.9897014307285545,-0.22794819619020656,1030094.1953775883,1.0232121623814456,0.5116060811907228,1030.0941953775882
2,2020,2019-01-02,2020-12-31,ANN signal,2,505,504,0.597224760260439,0.2638135781278974,0.27175234032515644,0.9960318875163735,-0.256626589225476,1609058.552167654,1.4275799058003278,0.7137899529001639,1609.058552167654
2,2020,2019-01-02,2020-12-31,ANN signal,3,505,504,0.8548065090441883,0.361912812570683,0.2508212870880646,1.3557913244423978,-0.2497332972748939,1515255.3887195587,1.432385880690744,0.716192940345372,1515.2553887195586
2,2020,2019-01-02,2020-12-31,ANN signal,4,505,504,0.46084079194641947,0.20865246946606586,0.27582025698314666,0.8243153069172485,-0.22822560325055086,1955846.975317955,1.8480156389278903,0.9240078194639452,1955.8469753179552
2,2020,2019-01-02,2020-12-31,ANN signal,5,505,504,0.38852822303854784,0.17835827448130037,0.2666469237602859,0.7470314550917262,-0.22956372116551516,1080213.4498403072,1.0720108290162857,0.5360054145081429,1080.2134498403072
2,2020,2019-01-02,2020-12-31,ANN signal,6,505,504,0.8103839975142735,0.3455051086912577,0.23180427899210945,1.393558267842021,-0.16576508865159723,1118580.482933998,1.0630476443554904,0.5315238221777452,1118.5804829339982
2,2020,2019-01-02,2020-12-31,ANN signal,7,505,504,0.6606803805093069,0.28867388446779163,0.30047555395089276,0.993620497860412,-0.2401336939791967,1793828.681776762,1.7080403407464941,0.8540201703732471,1793.828681776762
2,2020,2019-01-02,2020-12-31,ANN signal,8,505,504,0.5917000828641426,0.26162596789386927,0.21891794979434065,1.1691005316762184,-0.17968776247850637,1071615.1203148365,1.0550810654024285,0.5275405327012143,1071.6151203148365
2,2020,2019-01-02,2020-12-31,ANN signal,9,505,504,0.7862065752681247,0.3364903947534097,0.23232822260129643,1.3619076691011134,-0.16511361061799945,1254864.1120433807,1.1635413798281689,0.5817706899140844,1254.8641120433806
2,2020,2019-01-02,2020-12-31,Base FinRL,0,505,504,0.5411568387064876,0.24143338069607578,0.33456520687214825,0.8129776447687935,-0.25608686203365105,1501549.7031259537,1.4321788292872588,0.7160894146436294,1501.5497031259538
2,2020,2019-01-02,2020-12-31,Base FinRL,1,505,504,0.9266402380532319,0.3880346674536741,0.28957532637274874,1.2761106235890614,-0.3091731351035547,1482012.9252376556,1.3975047284397029,0.6987523642198514,1482.0129252376555
2,2020,2019-01-02,2020-12-31,Base FinRL,2,505,504,0.7014437176955539,0.3043940040093538,0.24673771086872318,1.1990844243759389,-0.1989469689769735,1066898.9869761467,1.0410055502631321,0.5205027751315661,1066.8989869761467
2,2020,2019-01-02,2020-12-31,Base FinRL,3,505,504,0.5297912962457938,0.23684732131568853,0.2459343792041131,0.9864958546924643,-0.24808849040485625,1044769.8571872711,1.0110373690509133,0.5055186845254567,1044.7698571872713
2,2020,2019-01-02,2020-12-31,Base FinRL,4,505,504,0.581442071135549,0.2575540032680701,0.3063271930693972,0.9005237033301011,-0.22120486085482016,1013131.4897246361,0.9910276692111007,0.49551383460555043,1013.1314897246361
2,2020,2019-01-02,2020-12-31,Base FinRL,5,505,504,0.263802384185726,0.12418965667974646,0.2531168677148388,0.5877883324459738,-0.1831058343405113,1013421.0854225159,1.0069799054185584,0.5034899527092792,1013.421085422516
2,2020,2019-01-02,2020-12-31,Base FinRL,6,505,504,0.5057296892741718,0.2270817777451395,0.26663617377196486,0.9000903405130661,-0.28467737377443025,2378289.8222403526,2.145393504473774,1.072696752236887,2378.289822240353
2,2020,2019-01-02,2020-12-31,Base FinRL,7,505,504,0.6844899794334391,0.2978790311247961,0.2582658736976627,1.13726349983815,-0.1961399259313984,1247659.1487903595,1.1843332232223196,0.5921666116111598,1247.6591487903597
2,2020,2019-01-02,2020-12-31,Base FinRL,8,505,504,0.6309685963755263,0.2770938087609407,0.3159543408831598,0.9314089854985084,-0.22786194355771694,1003096.9380722046,0.9806088361763032,0.4903044180881516,1003.0969380722047
2,2020,2019-01-02,2020-12-31,Base FinRL,9,505,504,0.5804564895317821,0.2571620776700918,0.21605868932226346,1.1648601403367063,-0.131806867464493,1085270.3845233917,1.0362641514012751,0.5181320757006376,1085.2703845233916
2,2020,2019-01-02,2020-12-31,QINN-MPS signal,0,505,504,0.6240085261305715,0.2743659310145463,0.296772925544982,0.9647250529336839,-0.2576323579569708,1222175.2892580032,1.1911584926374552,0.5955792463187276,1222.1752892580032
2,2020,2019-01-02,2020-12-31,QINN-MPS signal,1,505,504,0.5218233038581901,0.23362202633472395,0.26342867914898865,0.9280105421760549,-0.2614973162878599,1000124.6753635406,0.9924216473982709,0.49621082369913544,1000.1246753635409
2,2020,2019-01-02,2020-12-31,QINN-MPS signal,2,505,504,0.4563995345776435,0.20681379449260673,0.2303289862896785,0.9297314444649295,-0.18132773748749487,1100145.8866238594,1.046853817907281,0.5234269089536405,1100.1458866238595
2,2020,2019-01-02,2020-12-31,QINN-MPS signal,3,505,504,0.7838695780920217,0.3356158048226374,0.26732875019595836,1.215521546218573,-0.2337927298765694,1559184.6223640442,1.4849689857983193,0.7424844928991596,1559.1846223640441
2,2020,2019-01-02,2020-12-31,QINN-MPS signal,4,505,504,0.5857285313930205,0.2592571347397721,0.2861481364945829,0.9479864386830322,-0.2650341104843318,1955774.6479837894,1.865891467301778,0.932945733650889,1955.7746479837892
2,2020,2019-01-02,2020-12-31,QINN-MPS signal,5,505,504,0.2991777129715856,0.13981477134295184,0.2562283693886788,0.6385403356210606,-0.26975417992202166,1042302.218777895,1.0319830790100744,0.5159915395050372,1042.302218777895
2,2020,2019-01-02,2020-12-31,QINN-MPS signal,6,505,504,0.7290341613892957,0.3149274357884908,0.24470993866805918,1.2390528854509635,-0.20122170726847577,1014098.7511234283,0.9946762547259104,0.4973381273629552,1014.0987511234284
2,2020,2019-01-02,2020-12-31,QINN-MPS signal,7,505,504,1.0376738450443734,0.4274711363261863,0.2980898974332951,1.3412885779647488,-0.25755001347502415,1181446.5408346653,1.1073749218793165,0.5536874609396583,1181.4465408346653
2,2020,2019-01-02,2020-12-31,QINN-MPS signal,8,505,504,0.455440549997276,0.20641640820956852,0.23218927418869084,0.9228536563464609,-0.235566374159753,1036190.8774914742,1.0288937358831742,0.5144468679415871,1036.1908774914743
2,2020,2019-01-02,2020-12-31,QINN-MPS signal,9,505,504,0.6070850938227561,0.2677085997273807,0.2383141131999804,1.1121483393860163,-0.18609203109523342,1407647.5283708572,1.3079688087899188,0.6539844043949594,1407.6475283708573
3,2021,2019-01-02,2021-12-31,ANN signal,0,757,756,0.9675321723724057,0.2530660036547774,0.26884341122657057,0.9731470057170566,-0.24967579253632521,1185818.7317199707,1.146380552810895,0.382126850936965,1185.8187317199709
3,2021,2019-01-02,2021-12-31,ANN signal,1,757,756,0.8561767007834789,0.22896572909350232,0.2179659566487881,1.0541129110289533,-0.22794819619020656,1030094.1953775883,1.0232121623814459,0.3410707207938153,1030.0941953775882
